record_id,title,journal,year,final_evidence_class,statistic_type,statistic_snippet
PVA-0004,Safety boundary maintenance in consumer AI systems responding to pediatric health queries: a cross-platform benchmark evaluation under naturalistic and adversarially pressured conditions.,NPJ digital medicine,2026,core_pediatric_evidence,percentage,95.5%
PVA-0013,Single lead electrocardiographic detection of left ventricular systolic dysfunction in pediatric and congenital heart disease.,NPJ digital medicine,2026,core_pediatric_evidence,percentage,40%
PVA-0013,Single lead electrocardiographic detection of left ventricular systolic dysfunction in pediatric and congenital heart disease.,NPJ digital medicine,2026,core_pediatric_evidence,sample_size,"70,226 patients"
PVA-0013,Single lead electrocardiographic detection of left ventricular systolic dysfunction in pediatric and congenital heart disease.,NPJ digital medicine,2026,core_pediatric_evidence,sample_size,"42,984 patients"
PVA-0027,Benchmarking large language models against practicing clinicians on psychopathological assessment.,NPJ digital medicine,2026,core_foundational_transferable_evidence,p_value,p < 0.001
PVA-0027,Benchmarking large language models against practicing clinicians on psychopathological assessment.,NPJ digital medicine,2026,core_foundational_transferable_evidence,p_value,p < 0.0002
PVA-0027,Benchmarking large language models against practicing clinicians on psychopathological assessment.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,19.4%
PVA-0027,Benchmarking large language models against practicing clinicians on psychopathological assessment.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,11.4%
PVA-0027,Benchmarking large language models against practicing clinicians on psychopathological assessment.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,35.5%
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,confidence_interval,"Among 1100 evaluations of 980 text-level PASS cards, the evaluation-level false-negative rate (FNR) for blocking errors was 1.00% (95% CI 0.50-1.78%), exceeding the pre-specified 0.3% safety threshold; card-level (1.12%) and majority-vote (0.82%) analyses converged."
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,confidence_interval,"In unadjusted analyses, attending radiologists identified more errors than residents (odds ratio 4.52, 95% CI 2.38-8.57), although workload-matched sensitivity analyses attenuated this gap."
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,p_value,p = 0.003
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,p_value,p < 0.001
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,odds_ratio,"odds ratio 4.52, 95% CI 2"
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,1.00%
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,95%
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,1.78%
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,0.3%
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,1.12%
PVA-0030,Human-in-the-loop validation of a sequential multi-LLM medical education pipeline.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,0.82%
PVA-0033,Patient Perspectives on AI-Drafted Electronic Portal Messages.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,75.0%
PVA-0033,Patient Perspectives on AI-Drafted Electronic Portal Messages.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,22.5%
PVA-0033,Patient Perspectives on AI-Drafted Electronic Portal Messages.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,35.0%
PVA-0033,Patient Perspectives on AI-Drafted Electronic Portal Messages.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,32.5%
PVA-0045,KGRD: a knowledge-graph-augmented automated reasoning framework for diagnosis and counselling of paediatric rare genetic disorders.,NPJ digital medicine,2026,core_pediatric_evidence,percentage,81.9%
PVA-0049,A deep learning framework for efficient pathology image analysis.,Nature communications,2026,core_foundational_transferable_evidence,percentage,23%
PVA-0049,A deep learning framework for efficient pathology image analysis.,Nature communications,2026,core_foundational_transferable_evidence,percentage,99%
PVA-0051,Clinical decision support in hematological malignancies using a case-grounded AI agent.,Nature medicine,2026,core_foundational_transferable_evidence,percentage,81.8%
PVA-0051,Clinical decision support in hematological malignancies using a case-grounded AI agent.,Nature medicine,2026,core_foundational_transferable_evidence,percentage,82.8%
PVA-0051,Clinical decision support in hematological malignancies using a case-grounded AI agent.,Nature medicine,2026,core_foundational_transferable_evidence,percentage,0.3%
PVA-0051,Clinical decision support in hematological malignancies using a case-grounded AI agent.,Nature medicine,2026,core_foundational_transferable_evidence,event_count_of_total,2 of 664
PVA-0053,Structured reasoning failures compromise LLM interpretation of clinical oncology notes.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,23.1%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,confidence_interval,"Interrater agreement was 81.9% (95% CI, 77.4%-86.1%), with Gwet AC1 of 0.77 (95% CI, 0.70-0.83)."
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,confidence_interval,"In the 72-hour return cohort, model sensitivity ranged from 42.9% (95% CI, 24.5%-63.5%) for GPT-5 mini to 85.7% (95% CI, 65.4%-95.0%) for Claude Sonnet 4, specificity from 55.9% (95% CI, 48.4%-63.1%) for Claude Sonnet 4 to 82.9% (95% CI, 76.6%-87.9%) for GPT-5 mini, and AUC from 0.65 (95% CI, 0.53-0.77) for GPT-5 mini to 0.73 (95% CI, 0.61-0.85) for Claude Sonnet 4."
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,confidence_interval,"In the floor-to-ICU cohort, sensitivity ranged from 5.6% (95% CI, 1.0-25.8%) for GPT-5 mini to 55.6% (95% CI, 33.7%-75.4%) for Claude Sonnet 4, specificity from 64.6% (53.6%-74.2%) for Claude Sonnet 4 to 97.5% (95% CI, 91.2%-99.3%) for GPT-5 mini, and AUC from 0.57 (95% CI, 0.46-0.67) for GPT-5 mini to 0.82 (95% CI, 0.73-0.91) for GPT-5."
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,auc_auroc,"area under the receiver operating characteristic curve (AUC), and reviewer-reviewer and reviewer-model concordance"
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,auc_auroc,AUC from 0
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,46.9%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,13.5%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,11.0%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,18.6%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,81.9%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,95%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,77.4%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,percentage,86.1%
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,event_count_of_total,21 of 191
PVA-0054,Screening for Missed Opportunities for Diagnosis in the ED Using eTriggers and Large Language Models.,JAMA network open,2026,core_foundational_transferable_evidence,event_count_of_total,18 of 97
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,confidence_interval,"Treatment failure occurred in 102/4,693 patients (2.2%) in the intervention arm and 94/4,654 (2.0%) in the control arm (adjusted odds ratio 0.77, 95% confidence interval 0.55 to 1.08, P = 0.13)."
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,p_value,P = 0.13
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,odds_ratio,"odds ratio 0.77, 95% confidence interval 0"
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,percentage,2.2%
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,percentage,2.0%
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,percentage,95%
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,sample_size,"9,691 patients"
PVA-0055,"Generative AI-enabled clinical decision support system in primary care: a pragmatic, cluster-randomized trial.",Nature medicine,2026,core_foundational_transferable_evidence,sample_size,"4,693 patients"
PVA-0057,Identifying suicide-related language in smartphone keyboard entries among high-risk adolescents.,NPJ digital medicine,2026,core_pediatric_evidence,percentage,14.5%
PVA-0057,Identifying suicide-related language in smartphone keyboard entries among high-risk adolescents.,NPJ digital medicine,2026,core_pediatric_evidence,percentage,20.2%
PVA-0057,Identifying suicide-related language in smartphone keyboard entries among high-risk adolescents.,NPJ digital medicine,2026,core_pediatric_evidence,sample_size,"N = 171,468"
PVA-0065,"AI-CURA, an automated LLM workflow for high-accuracy genetic variant classification.",Science translational medicine,2026,core_foundational_transferable_evidence,percentage,100%
PVA-0073,Human-AI Collaboration in Healthcare: A Scoping Review.,NPJ digital medicine,2026,core_foundational_transferable_evidence,sample_size,"17,463 records"
PVA-0081,Memorization in large language models in medicine prevalence characteristics and implications.,Nature communications,2026,core_foundational_transferable_evidence,percentage,87%
PVA-0114,Performance of a large language model in the informed consent process for participation in a clinical trial.,NPJ digital medicine,2026,core_foundational_transferable_evidence,confidence_interval,"Mean accuracy scores across all responses were consistently rated high by humans (4.8, 95% CI: 4.7-4.9) and the moderator LLM (4.7, 4.6-4.8)."
PVA-0114,Performance of a large language model in the informed consent process for participation in a clinical trial.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,95%
PVA-0115,A systematic review of explainable artificial intelligence and cardiac electrophysiological models addressing sports-related sudden cardiac death and arrest in adolescents and young adults.,NPJ digital medicine,2026,core_pediatric_evidence,odds_ratio,"or 24 hours of an unwitnessed Sudden Cardiac Arrest (SCA), being the leading medical"
PVA-0115,A systematic review of explainable artificial intelligence and cardiac electrophysiological models addressing sports-related sudden cardiac death and arrest in adolescents and young adults.,NPJ digital medicine,2026,core_pediatric_evidence,sample_size,"100,000 participants"
PVA-0126,Large language models as experimental systems in human psychopathology: a modelling study.,The Lancet. Digital health,2026,core_foundational_transferable_evidence,percentage,20%
PVA-0126,Large language models as experimental systems in human psychopathology: a modelling study.,The Lancet. Digital health,2026,core_foundational_transferable_evidence,percentage,98%
PVA-0130,From raw audio to structure: an agent-based pipeline that boosts medical LLM performance.,NPJ digital medicine,2026,core_foundational_transferable_evidence,p_value,P < 0.001
PVA-0130,From raw audio to structure: an agent-based pipeline that boosts medical LLM performance.,NPJ digital medicine,2026,core_foundational_transferable_evidence,percentage,94.7%
